                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.0237,                 1.2845,                 1.4829,                0.71168,                0.62796,                0.70378,                0.48621,                 1.1428,                 1.2053,                 1.5709,               0.000406,               0.000406,               0.000406
                    122,                 1.0233,                 1.2745,                 1.4837,                 0.7079,                0.62958,                0.70461,                0.48693,                 1.1422,                 1.2032,                 1.5702,             0.00040105,             0.00040105,             0.00040105
                    123,                 1.0217,                 1.2742,                 1.4835,                0.71059,                0.62995,                0.70544,                0.48779,                 1.1414,                 1.2008,                 1.5692,              0.0003961,              0.0003961,              0.0003961
                    124,                 1.0206,                  1.272,                 1.4794,                0.71301,                0.62978,                0.70602,                0.48846,                 1.1406,                 1.1986,                 1.5683,             0.00039115,             0.00039115,             0.00039115
                    125,                 1.0172,                  1.262,                 1.4784,                0.70919,                0.63475,                0.70676,                0.48903,                 1.1399,                 1.1961,                 1.5675,              0.0003862,              0.0003862,              0.0003862
                    126,                 1.0174,                  1.267,                 1.4778,                0.70192,                0.64097,                0.70732,                0.49001,                 1.1392,                 1.1942,                 1.5667,             0.00038125,             0.00038125,             0.00038125
                    127,                 1.0137,                  1.256,                  1.473,                0.69975,                0.64568,                0.70812,                 0.4902,                 1.1386,                 1.1923,                  1.566,              0.0003763,              0.0003763,              0.0003763
                    128,                 1.0097,                 1.2509,                   1.47,                0.69909,                0.64618,                0.70851,                0.49119,                 1.1379,                 1.1901,                 1.5651,             0.00037135,             0.00037135,             0.00037135
                    129,                 1.0101,                 1.2543,                 1.4724,                0.69901,                0.64671,                0.70883,                0.49143,                 1.1373,                 1.1885,                 1.5643,              0.0003664,              0.0003664,              0.0003664
                    130,                 1.0074,                 1.2443,                  1.468,                0.69816,                0.64642,                0.70947,                0.49225,                 1.1365,                 1.1866,                 1.5634,             0.00036145,             0.00036145,             0.00036145
                    131,                   1.01,                 1.2437,                   1.47,                0.69818,                0.64871,                   0.71,                0.49277,                  1.136,                 1.1849,                 1.5627,              0.0003565,              0.0003565,              0.0003565
                    132,                 1.0059,                   1.24,                 1.4673,                0.69345,                0.65432,                0.71085,                0.49299,                 1.1354,                 1.1829,                 1.5617,             0.00035155,             0.00035155,             0.00035155
                    133,                 1.0024,                  1.238,                 1.4669,                 0.6949,                0.65305,                0.71164,                0.49382,                 1.1347,                 1.1813,                  1.561,              0.0003466,              0.0003466,              0.0003466
                    134,                 1.0009,                 1.2328,                  1.463,                0.69811,                 0.6531,                0.71225,                0.49451,                 1.1342,                 1.1802,                 1.5604,             0.00034165,             0.00034165,             0.00034165
                    135,                 1.0051,                 1.2352,                 1.4648,                 0.6992,                0.65479,                 0.7132,                0.49501,                 1.1338,                 1.1785,                 1.5597,              0.0003367,              0.0003367,              0.0003367
                    136,                 1.0024,                 1.2346,                 1.4631,                0.69953,                0.65461,                0.71372,                0.49582,                 1.1334,                  1.177,                 1.5591,             0.00033175,             0.00033175,             0.00033175
                    137,                 1.0029,                 1.2323,                 1.4659,                 0.7047,                0.64999,                0.71454,                0.49602,                 1.1328,                 1.1755,                 1.5582,              0.0003268,              0.0003268,              0.0003268
                    138,                 1.0024,                 1.2256,                 1.4612,                0.70134,                0.65576,                0.71502,                0.49619,                 1.1321,                 1.1737,                 1.5575,             0.00032185,             0.00032185,             0.00032185
                    139,                 1.0005,                 1.2287,                 1.4616,                0.70088,                0.65723,                0.71584,                0.49678,                 1.1318,                  1.172,                 1.5568,              0.0003169,              0.0003169,              0.0003169
                    140,                0.99983,                 1.2286,                  1.462,                0.70321,                0.65585,                0.71654,                0.49707,                 1.1313,                 1.1703,                 1.5561,             0.00031195,             0.00031195,             0.00031195
                    141,                 0.9985,                  1.219,                 1.4575,                0.70349,                0.65384,                0.71642,                0.49727,                 1.1308,                 1.1686,                 1.5557,               0.000307,               0.000307,               0.000307
                    142,                 0.9931,                 1.2181,                 1.4548,                0.70599,                0.65232,                0.71717,                0.49712,                 1.1305,                 1.1669,                 1.5552,             0.00030205,             0.00030205,             0.00030205
                    143,                0.98984,                 1.2059,                 1.4496,                0.70582,                0.65207,                0.71751,                0.49728,                 1.1301,                 1.1655,                 1.5545,              0.0002971,              0.0002971,              0.0002971
                    144,                0.99839,                  1.212,                 1.4585,                0.70905,                0.65563,                0.71818,                0.49787,                 1.1297,                  1.164,                  1.554,             0.00029215,             0.00029215,             0.00029215
